,article_id,authorid,authorname,authorurl,paperId,doi,title,citing_venue,year,intent,isInfluential
0,10.5455/aim.2012.20.47-55,2162871696,Ballester Benoit,,6a96aa231f1bb1dcada2c093ea91df1982c5400e,10.1186/s12903-022-02163-9,Current state of dental informatics in the field of health information systems: a scoping review,BMC oral health,2022,,FALSE
1,10.5455/aim.2012.20.47-55,2162871951,Bukiet Frédéric,,6a96aa231f1bb1dcada2c093ea91df1982c5400e,10.1186/s12903-022-02163-9,Current state of dental informatics in the field of health information systems: a scoping review,BMC oral health,2022,,FALSE
2,10.5455/aim.2012.20.47-55,2162871920,Dufour Jean-Charles,,6a96aa231f1bb1dcada2c093ea91df1982c5400e,10.1186/s12903-022-02163-9,Current state of dental informatics in the field of health information systems: a scoping review,BMC oral health,2022,,FALSE
3,10.5455/aim.2012.20.47-55,2163317317,A. S. A. AL-Ghamdi,,d4d90a1d78a6411e92c298fc8a833ab84c00a9df,10.1155/2022/3500552,Detection of Dental Diseases through X-Ray Images Using Neural Search Architecture Network,Computational intelligence and neuroscience,2022,background,FALSE
4,10.5455/aim.2012.20.47-55,2144746353,Mahmoud Ragab,,d4d90a1d78a6411e92c298fc8a833ab84c00a9df,10.1155/2022/3500552,Detection of Dental Diseases through X-Ray Images Using Neural Search Architecture Network,Computational intelligence and neuroscience,2022,background,FALSE
5,10.5455/aim.2012.20.47-55,2068162246,Saad A Alghamdi,,d4d90a1d78a6411e92c298fc8a833ab84c00a9df,10.1155/2022/3500552,Detection of Dental Diseases through X-Ray Images Using Neural Search Architecture Network,Computational intelligence and neuroscience,2022,background,FALSE
6,10.5455/aim.2012.20.47-55,8411337,Amer H. Asseri,,d4d90a1d78a6411e92c298fc8a833ab84c00a9df,10.1155/2022/3500552,Detection of Dental Diseases through X-Ray Images Using Neural Search Architecture Network,Computational intelligence and neuroscience,2022,background,FALSE
7,10.5455/aim.2012.20.47-55,1935074,R. Mansour,,d4d90a1d78a6411e92c298fc8a833ab84c00a9df,10.1155/2022/3500552,Detection of Dental Diseases through X-Ray Images Using Neural Search Architecture Network,Computational intelligence and neuroscience,2022,background,FALSE
8,10.5455/aim.2012.20.47-55,2193443,D. Koundal,,d4d90a1d78a6411e92c298fc8a833ab84c00a9df,10.1155/2022/3500552,Detection of Dental Diseases through X-Ray Images Using Neural Search Architecture Network,Computational intelligence and neuroscience,2022,background,FALSE
9,10.5455/aim.2012.20.47-55,8845450,Y. Alomi,,4ebd898427bce37f6fb9ae82b49f2a7acdff68b6,10.5530/PTB.2021.7.6,Analysis of Practice of Drug Information Resources by Dentists in Saudi Arabia,,2021,,FALSE
10,10.5455/aim.2012.20.47-55,2087850023,A. Alshammari,,4ebd898427bce37f6fb9ae82b49f2a7acdff68b6,10.5530/PTB.2021.7.6,Analysis of Practice of Drug Information Resources by Dentists in Saudi Arabia,,2021,,FALSE
11,10.5455/aim.2012.20.47-55,2123930061,Juman saad Mohammad Alsaab,,4ebd898427bce37f6fb9ae82b49f2a7acdff68b6,10.5530/PTB.2021.7.6,Analysis of Practice of Drug Information Resources by Dentists in Saudi Arabia,,2021,,FALSE
12,10.5455/aim.2012.20.47-55,1422163398,Šeila Cilović-Lagarija,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
13,10.5455/aim.2012.20.47-55,15255970,Nino Hasanica,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
14,10.5455/aim.2012.20.47-55,2136490772,Elma Begovic,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
15,10.5455/aim.2012.20.47-55,2138578532,Adisa Pestek,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
16,10.5455/aim.2012.20.47-55,2139885576,Ahmetagic,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
17,10.5455/aim.2012.20.47-55,49575308,M. Radojicic,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
18,10.5455/aim.2012.20.47-55,1422245755,A. Ramić-Čatak,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
19,10.5455/aim.2012.20.47-55,51128727,Sanela Tukulija,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
20,10.5455/aim.2012.20.47-55,1421936090,M. Selimović-Dragaš,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,TRUE
21,10.5455/aim.2012.20.47-55,2035597606,J. Méndez,,64f1338b97e871d4dceb6fee31e4da9009aaf0c4,10.52006/MAIN.V3I2.134,Viability of Multi-Specialty Dental Center in Bacolod City,,2020,,FALSE
22,10.5455/aim.2012.20.47-55,2036682992,Rizalie N.E. Mibato,,64f1338b97e871d4dceb6fee31e4da9009aaf0c4,10.52006/MAIN.V3I2.134,Viability of Multi-Specialty Dental Center in Bacolod City,,2020,,FALSE
23,10.5455/aim.2012.20.47-55,40863248,H. Ehtesham,,79e2f689371d7c9e5313099f3654de85e3cf71a1,10.4103/jehp.jehp_97_20,Management of the essential data element in the differential diagnosis of oral medicine: An effective step in promoting oral health,Journal of education and health promotion,2020,,FALSE
24,10.5455/aim.2012.20.47-55,3062107,R. Safdari,,79e2f689371d7c9e5313099f3654de85e3cf71a1,10.4103/jehp.jehp_97_20,Management of the essential data element in the differential diagnosis of oral medicine: An effective step in promoting oral health,Journal of education and health promotion,2020,,FALSE
25,10.5455/aim.2012.20.47-55,40051249,A. Mansourian,,79e2f689371d7c9e5313099f3654de85e3cf71a1,10.4103/jehp.jehp_97_20,Management of the essential data element in the differential diagnosis of oral medicine: An effective step in promoting oral health,Journal of education and health promotion,2020,,FALSE
26,10.5455/aim.2012.20.47-55,6113090,Shahram Tahmasebian,,79e2f689371d7c9e5313099f3654de85e3cf71a1,10.4103/jehp.jehp_97_20,Management of the essential data element in the differential diagnosis of oral medicine: An effective step in promoting oral health,Journal of education and health promotion,2020,,FALSE
27,10.5455/aim.2012.20.47-55,6116239,N. Mohammadzadeh,,79e2f689371d7c9e5313099f3654de85e3cf71a1,10.4103/jehp.jehp_97_20,Management of the essential data element in the differential diagnosis of oral medicine: An effective step in promoting oral health,Journal of education and health promotion,2020,,FALSE
28,10.5455/aim.2012.20.47-55,4348082,S. Pourshahidi,,79e2f689371d7c9e5313099f3654de85e3cf71a1,10.4103/jehp.jehp_97_20,Management of the essential data element in the differential diagnosis of oral medicine: An effective step in promoting oral health,Journal of education and health promotion,2020,,FALSE
29,10.5455/aim.2012.20.47-55,35366322,Jouko Kallio,,6ab58ce74f50dbb72a4284d1c0aaaeba2e14abd4,10.1155/2017/3080957,A Competition between Care Teams Improved Recording of Diagnoses in Primary Dental Care: A Longitudinal Follow-Up Study,International journal of dentistry,2017,background,FALSE
